Product Name,Score
Спагетти Federici №3 без глютена из красной чечевицы 250г,8.0
Огурцы Люкс Луховицкие короткоплодные 450г,8.0
Улитка с ванильной начинкой и изюмом п/ф 100г,6.0
Отруби Вкус & Польза хрустящие ржаные 230г,7.0
Отруби На Здоровье овсяные 175г,8.0
Лапша Ameria №120 Яичная 400г,7.67
Вода Черноголовка артезианская негазированная 2.5л,9.33
Масло Mr. Ricco подсолнечное рафинированное дезодорированное 1л,7.0
Масло Altero подсолнечное с добавлением оливкового 810мл,6.67
Напиток энергетический Pulseup Berry Energy газированный 0.45л,6.33
Консервы Красная цена томаты неочищенные в томатном соке 680г,6.67
Сыр творожный Almette сливочный 60% БЗМЖ 150г,8.33
Вода Святой источник Спорт негазированная 750мл,9.67
Мармелад Бон Пари Кислые змейки жевательный фигурный фрукты 120г,5.67
Соус Heinz Брусничный для мяса 200г,4.67
Сырок творожный Ростагроэкспорт с вареной сгущенкой глазированный 15% 45г,7.67
Хлеб Маг с семечками 390г,7.0
Соус Astoria с пряностями и чесноком 200г,6.0
Мука Пышечка пшеничная высшего сорта 1кг,6.0
Головы цыплят замороженные,4.0
Сыр твердый ЭкоНива Dürr Zeller 55% БЗМЖ 200г,8.0
Лапша Big Bon Wok Курица в соусе терияки быстрого приготовления 85г,5.0
Макароны Barilla Risoni n.26 450г,8.33
Вода Святой источник негазированная 1.5л,9.0
Фарш говяжий Рестория 400г,7.0
Соус Рестория Сметанный с грибами 42% 233г,7.33
Хлеб Черемушки Столичный нарезка 330г,7.0
Хлопья Makfa овсяные традиционные 400г,4.67
Десерт творожный Epica Flavorite Груша-Ваниль-Грецкий орех 8.0% 130г,8.33
Булочки Коломенский пшеничные с кунжутом 3х60г,6.0
Смесь Mix Bar Коктейль сухофрукты и орехи 150г,7.67
Набор кондитерских изделий Fruit-Tella Письмо Волшебнику 199г,5.67
Масло льняное Селяночка нерафинированное 250мл,8.0
Готовый завтрак Любятово Медовые шарики и звездочки 420г,6.0
Торт Mirel Черничное молоко 750г,4.67
Суп Харчо Пятерочка Кафе 250г,6.33
Кофе Venetto натуральный растворимый 95г,6.0
Бананы Красная Цена фасованные,6.67
