Product Name,PLU,UOM,Step,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Хашбраун из картофеля замороженный 480г,4354614,шт,1.0,480 г,480.0,2.2,7.6,21.7,164.0,4.0
Жюльен из курицы с грибами замороженный Российская Корона 250г,3621247,шт,1.0,250 г,250.0,14.8,11.1,4.1,175.5,4.67
Беляши Омские жареные замороженные Дарина 400г,4336477,шт,1.0,400 г,400.0,10.0,8.0,24.0,210.0,3.33
Мини-чебуреки Чебурито с мясом Твистер 300г,4078158,шт,1.0,300 г,300.0,11.0,10.2,30.6,258.0,5.33
Котлеты куриные запеченные замороженные Главобед 340г,4337207,шт,1.0,340 г,340.0,13.7,7.2,12.5,170.0,7.0
Лапша гречневая Тори Ясай Соба с цыпленком и овощами Perfetto 250г,4071297,шт,1.0,250 г,250.0,8.2,6.9,16.1,159.3,6.33
Блюдо готовое Фондю Эменталь замороженное 4 сезона 600г,3054891,шт,1.0,600 г,600.0,7.9,10.2,13.3,175.0,3.33
Каша рисовая с яблочно-апельсиновым соусом замороженная Фросток 320г,4340916,шт,1.0,320 г,320.0,1.5,2.5,11.0,70.0,7.0
Булочки Bibigo Бао со свининой замороженные 320г,4372071,шт,1.0,320 г,320.0,7.3,11.9,33.5,270.8,5.67
Спагетти Карбонара замороженные Фросток 210г,4340915,шт,1.0,210 г,210.0,9.5,9.5,21.0,200.0,3.67
Тесто для чебуреков 500г,3608912,шт,1.0,500 г,500.0,9.0,1.0,52.0,250.0,7.0
Пиццетта с салями 85г,78033550,шт,1.0,85 г,85.0,8.5,9.5,25.0,220.0,7.0
Улитка с корицей 80г,78031990,шт,1.0,80 г,80.0,5.6,26.8,45.4,445.0,5.0
Розан с начинкой Черная смородина 120г,78009909,шт,1.0,120 г,120.0,3.3,12.49,40.8,289.0,6.67
Слойка с начинкой Вишня 81г,78007176,шт,1.0,81 г,81.0,5.0,14.8,50.2,354.0,5.67
Пирог домашний с творожной начинкой 96г,78033558,шт,1.0,96 г,96.0,7.0,10.0,48.0,310.0,3.33
Круассан с миндалем 68г,78031923,шт,1.0,68 г,68.0,9.5,26.6,43.7,452.2,6.67
Пекан кленовый 70г,78010930,шт,1.0,70 г,70.0,4.5,27.0,39.0,420.0,7.0
Улитка с ванильной начинкой и изюмом 90г,78032555,шт,1.0,90 г,90.0,4.0,18.0,37.0,320.0,6.0
Сочень с творогом 91г,78030425,шт,1.0,91 г,91.0,8.0,18.3,46.1,381.0,26.75
Улитка Греческая с курицей и картофелем 160г,3368421,шт,1.0,160 г,160.0,8.7,6.7,32.6,226.0,4.0
Лепешка томаты с базиликом 165г,62766,шт,1.0,165 г,165.0,5.0,1.4,19.0,115.0,8.0
Улитка Греческая с мясом 160г,3368414,шт,1.0,160 г,160.0,9.3,7.7,31.6,233.0,5.67
Улитка Греческая со шпинатом и сыром 160г,3368417,шт,1.0,160 г,160.0,7.6,9.2,33.6,248.0,5.33
Самса с курицей и овощами 100г,78032235,шт,1.0,100 г,100.0,6.6,11.0,31.4,251.0,8.0
Слойка с ветчиной и сыром 80г,78033093,шт,1.0,80 г,80.0,8.7,16.3,24.7,298.0,4.0
Слойка с сосиской 75г,78006242,шт,1.0,75 г,75.0,7.2,19.3,36.0,351.0,3.0
Пирожок с яйцом и зеленым луком 65г,78034706,шт,1.0,65 г,65.0,7.0,5.0,28.0,180.0,4.0
Пирожок с начинкой Капуста 75г,78011228,шт,1.0,75 г,75.0,4.9,6.2,38.5,228.9,4.0
Элеш с курицей 220г,78005834,шт,1.0,220 г,220.0,10.9,11.2,20.4,215.0,6.0
Самса с говядиной 95г,78010258,шт,1.0,95 г,95.0,6.4,11.0,31.7,251.4,7.0
Круассан классический 50г,78033013,шт,1.0,50 г,50.0,7.0,17.0,42.0,350.0,6.0
Хачапури 80г,78033187,шт,1.0,80 г,80.0,5.5,24.0,32.0,360.0,6.33
Багет ржаной чесночный 180г,78030125,шт,1.0,180 г,180.0,6.5,14.0,45.1,332.0,6.67
Багет традиционный 230г,78030107,шт,1.0,230 г,230.0,8.0,13.0,34.0,280.0,6.67
Чиабатта Рустик 290г,78030460,шт,1.0,290 г,290.0,7.82,0.83,42.17,207.0,7.0
Багет чесночный 158г,78030124,шт,1.0,158 г,158.0,6.7,11.0,45.0,305.8,5.33
Хлеб пшеничный 390г,78030901,шт,1.0,390 г,390.0,7.5,3.0,48.0,250.0,7.0
Багет мини 120г,3383605,шт,1.0,120 г,120.0,7.5,2.9,51.4,262.0,3.33
Хлеб Маг с семечками 390г,78010680,шт,1.0,390 г,390.0,10.0,8.0,45.0,300.0,7.0
Хлебушек заварной бездрожжевой 315г,78006726,шт,1.0,315 г,315.0,6.6,1.0,51.8,248.0,6.67
Булочка с корицей п/ф 90г,4200588,шт,1.0,90 г,90.0,5.6,26.8,45.4,444.0,4.67
Багет Ржаной чесночный п/ф 200г,4117904,шт,1.0,200 г,200.0,6.5,14.0,45.1,332.0,6.67
Багет Традиционный п/ф 260г,4112024,шт,1.0,260 г,260.0,8.5,1.0,60.0,280.0,8.0
Улитка Греческая с курицей и картофелем п/ф 180г,3368459,шт,1.0,180 г,180.0,9.0,7.0,33.0,230.0,5.0
Лепешка Томат-базилик п/ф 180г,78000004,шт,1.0,180 г,180.0,12.3,20.4,47.2,426.0,5.33
Улитка Греческая со шпинатом и сыром п/ф 180г,3368457,шт,1.0,180 г,180.0,8.0,9.0,34.0,250.0,7.0
Слойка Valentain дрожжевая с вишней п/ф 90г,3612462,шт,1.0,90 г,90.0,4.5,12.0,46.0,310.0,6.67
Багет чесночный замороженный п/ф 175г,4117906,шт,1.0,175 г,175.0,6.7,11.0,45.0,305.8,5.67
Улитка с ванильной начинкой и изюмом п/ф 100г,4233266,шт,1.0,100 г,100.0,4.0,18.0,37.0,320.0,6.0
Улитка Греческая с мясом п/ф 180г,3368456,шт,1.0,180 г,180.0,8.0,18.5,36.0,345.0,5.67
Розан Буше со смородиной п/ф 130г,3658222,шт,1.0,130 г,130.0,3.3,12.5,40.8,289.0,6.0
Хлебушек Fazer заварной бездрожжевой п/ф 350г,3608756,шт,1.0,350 г,350.0,5.9,0.9,47.9,230.0,100.2
Чиабатта Рустик п/ф 300г,3645121,шт,1.0,300 г,300.0,7.82,0.83,42.17,207.0,6.0
Круассан Мириталь с миндалем п/ф 70г,4198978,шт,1.0,70 г,70.0,9.5,26.6,43.7,452.2,6.67
Пирожок с зеленым луком и яйцом п/ф 65г,4342779,шт,1.0,65 г,65.0,7.0,5.0,28.0,180.0,4.0
Пирог домашний с творожной начинкой п/ф 100г,4278636,шт,1.0,100 г,100.0,7.0,10.0,48.0,310.0,6.0
Слойка с сосиской п/ф 90г,3474487,шт,1.0,90 г,90.0,7.0,19.0,36.0,340.0,3.33
Слойка с ветчиной и сыром п/ф 90г,4262738,шт,1.0,90 г,90.0,9.0,21.5,30.0,350.0,5.67
Самса с курицей и овощами п/ф 122г,4220033,шт,1.0,122 г,122.0,6.6,11.0,31.4,251.0,7.0
Элеш Султан с курицей п/ф 230г,3635486,шт,1.0,230 г,230.0,7.0,11.0,26.0,230.0,5.67
Самса Mr. Food с мясом п/ф 122г,3670067,шт,1.0,122 г,122.0,6.4,11.0,31.7,251.4,5.33
Хлеб Знатный Пачастунак с семечками п/ф 400г,3682002,шт,1.0,400 г,400.0,11.0,8.0,46.0,300.0,7.0
Сочень с творогом п/ф 110г,4118627,шт,1.0,110 г,110.0,8.0,18.3,46.1,381.0,5.33
Хлеб Пшеничный п/ф 400г,4163804,шт,1.0,400 г,400.0,7.5,3.0,48.0,250.0,7.0
Хачапури п/ф 100г,4233569,шт,1.0,100 г,100.0,5.5,24.0,32.0,360.0,8.0
Шоколадный батончик Twix Xtra с карамелью 82г,2138420,шт,1.0,82 г,82.0,3.9,24.0,65.4,495.0,4.33
Батончик Picnic BIg с арахисом и изюмом 76г,3442578,шт,1.0,76 г,76.0,7.1,25.5,55.0,480.0,7.0
Шоколад Goodmix молочный с хрустящей вафлей 40г,4357720,шт,1.0,40 г,40.0,6.1,28.0,62.0,527.0,5.0
Батончик шоколадный Bounty Трио 82.5г,2100611,шт,1.0,83 г,83.0,3.3,25.1,60.0,484.0,6.33
Батончик шоколадный Snickers Белый жареный арахис-карамель-нуга 2х45г,3641042,шт,1.0,81 г,81.0,8.3,26.5,57.7,500.0,6.0
Батончик шоколадный Snickers лесной орех 81г,3297592,шт,1.0,81 г,81.0,7.6,27.5,56.4,507.0,5.33
Яйцо Kinder Сюрприз из молочного шоколада с игрушкой в ассортименте 20г,3147882,шт,1.0,20 г,20.0,8.1,34.2,52.3,552.0,6.0
Конфета Nuts Duo цельный фундук 66г,90937,шт,1.0,66 г,66.0,5.4,24.0,64.0,491.0,6.67
Батончик шоколадный Mars Max с нугой и карамелью в молочном шоколаде 81г,3389812,шт,1.0,81 г,81.0,4.1,17.4,69.6,454.0,4.0
Яйцо Kinder Сюрприз из молочного шоколада с игрушкой в ассортименте 20г,47804,шт,1.0,20 г,20.0,8.1,34.2,52.3,552.0,5.33
Батончик Milky Way шоколадный 26г,5164,шт,1.0,26 г,26.0,2.7,16.5,72.8,452.0,3.33
Шоколадный батончик Twix с карамелью 55г,7650,шт,1.0,55 г,55.0,3.9,24.0,65.4,495.0,5.0
Батончик шоколадный Nuts Фундук и фисташка 47г,4349886,шт,1.0,47 г,47.0,5.0,24.0,65.0,496.0,6.0
Конфета Goodmix со вкусом соленой карамели с хрустящей вафлей 44г,4237783,шт,1.0,44 г,44.0,6.1,28.0,61.0,522.0,5.0
Яйцо Kinder Сюрприз из молочного шоколада с игрушкой в ассортименте 20г,3157836,шт,1.0,20 г,20.0,8.1,34.2,52.3,552.0,6.33
Батончик шоколадный Бабаевский с помадно-сливочной начинкой 50г,2162060,шт,1.0,50 г,50.0,5.0,25.0,58.0,490.0,5.0
Конфета Goodmix со вкусом соленого арахиса с хрустящей вафлей 46г,4240555,шт,1.0,46 г,46.0,7.2,30.0,58.0,534.0,5.33
Батончик Nut&Go миндальный 34г,4269929,шт,1.0,34 г,34.0,11.0,38.0,40.0,550.0,5.67
Батончик шоколадный Snickers 50.5г,3398823,шт,1.0,51 г,51.0,7.6,25.1,59.0,495.0,4.33
Батончик Mixbar с печеньем и карамелью 30г,4239070,шт,1.0,30 г,30.0,5.9,22.4,61.8,470.0,5.5
"Батончик Mixbar с какао, молоком и криспи 30г",4232528,шт,1.0,30 г,30.0,5.5,22.9,61.0,468.0,5.0
Шоколад Славянка Левушка детям с вафлями 27.5г,4331413,шт,1.0,28 г,28.0,4.5,33.0,43.0,449.0,6.0
Шоколад темный Ritter Sport с цельным лесным орехом 100г,3490518,шт,1.0,100 г,100.0,9.0,41.0,39.0,577.0,7.33
Шоколад Kinder-Сюрприз с игрушкой внутри 53г,4372984,шт,1.0,53 г,53.0,8.8,36.2,53.9,579.0,3.67
Батончик Ulker Dido вафельный покрытый молочным шоколадом 35г,4264264,шт,1.0,35 г,35.0,7.7,29.0,59.0,530.0,6.0
Яйцо шоколадное Kids Box Десерт с подарком в ассортименте 20г,4235625,шт,1.0,20 г,20.0,4.0,31.0,56.0,519.0,4.0
Яйцо Конфитрейд с сюрпризом в ассортименте 20г,4132822,шт,1.0,20 г,20.0,5.5,32.0,55.0,540.0,5.33
"Конфеты Даежъ Wafer Bar с карамелью, арахисом и солеными кранчами 54г",4349267,шт,1.0,54 г,54.0,7.3,26.4,53.6,481.0,3.0
Батончик Schluckwerder марципановый в темном шоколаде 100г,4283168,шт,1.0,100 г,100.0,6.1,17.0,63.0,444.0,8.0
Яйцо Kinder Joy из молочного шоколада с игрушкой в ассортименте 20г,2091079,шт,1.0,20 г,20.0,8.2,32.0,56.5,550.0,4.67
Яйцо шоколадное Kinder Сюрприз Maxi с игрушкой-сюрпризом 100г,3353040,шт,1.0,100 г,100.0,8.8,5.2,53.9,579.0,2.33
Батончик Chikalab с начинкой кокос глазированный 60г,4126140,шт,1.0,60 г,60.0,25.0,20.0,5.8,373.0,6.33
Яйцо Be Sweet с подарком из молочного шоколада 20г в ассортименте 1шт.,4366828,шт,1.0,20 г,20.0,3.0,32.0,61.6,546.4,4.33
Фигурка Мок-Мок шоколадная с печеньем 24г,4365633,шт,1.0,24 г,24.0,5.5,31.0,56.0,530.0,4.67
Шоколадная фигурка из глазури 60г,4367004,шт,1.0,60 г,60.0,3.0,33.0,61.0,553.0,2.0
Батончик Reeel Клюква орехово-ягодный 30г,4340482,шт,1.0,30 г,30.0,9.8,39.7,43.3,572.0,7.0
Батончик Reeel Молочный шоколад ореховый 30г,4340484,шт,1.0,30 г,30.0,11.9,28.8,44.9,490.0,5.33
Напиток энергетический Adrenaline Rush 0.449л,3931836,шт,1.0,449 мл,449.0,0.1,0.0,13.0,54.0,5.0
Напиток энергетический Adrenaline Rush 0.25л,58772,шт,1.0,250 мл,250.0,5.0,0.0,12.5,54.0,6.0
